"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\__dash-page.tsx", "TypeScript JSX", 155, 0, 9, 8, 172
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\artikler\[slug]\page.tsx", "TypeScript JSX", 104, 0, 5, 14, 123
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\artikler\client.page.tsx", "TypeScript JSX", 165, 0, 10, 16, 191
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\artikler\page.tsx", "TypeScript JSX", 14, 0, 0, 2, 16
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\client.page.tsx", "TypeScript JSX", 68, 0, 1, 12, 81
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\guider\page.tsx", "TypeScript JSX", 55, 0, 0, 3, 58
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\layout.tsx", "TypeScript JSX", 18, 0, 0, 3, 21
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\page.tsx", "TypeScript JSX", 13, 0, 2, 4, 19
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\verktoy\befaringsveileder\page.tsx", "TypeScript JSX", 10, 0, 1, 2, 13
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\verktoy\page.tsx", "TypeScript JSX", 132, 0, 13, 19, 164
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\videoer\client.page.tsx", "TypeScript JSX", 158, 0, 10, 16, 184
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\_ressurser-dashboard\videoer\page.tsx", "TypeScript JSX", 14, 0, 0, 2, 16
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\corsica\page.tsx", "TypeScript JSX", 5, 0, 0, 2, 7
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\global-error.tsx", "TypeScript JSX", 40, 0, 1, 3, 44
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\globals.css", "PostCSS", 0, 249, 13, 24, 286
